"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.01.2021 00:00 - 01.01.2021 00:15","42453","43896"
"01.01.2021 00:15 - 01.01.2021 00:30","42178","43369"
"01.01.2021 00:30 - 01.01.2021 00:45","41777","42861"
"01.01.2021 00:45 - 01.01.2021 01:00","41401","42685"
"01.01.2021 01:00 - 01.01.2021 01:15","41128","41957"
"01.01.2021 01:15 - 01.01.2021 01:30","41048","41569"
"01.01.2021 01:30 - 01.01.2021 01:45","40765","41316"
"01.01.2021 01:45 - 01.01.2021 02:00","40493","41010"
"01.01.2021 02:00 - 01.01.2021 02:15","40577","40847"
"01.01.2021 02:15 - 01.01.2021 02:30","40639","40769"
"01.01.2021 02:30 - 01.01.2021 02:45","40435","40690"
"01.01.2021 02:45 - 01.01.2021 03:00","40310","40530"
"01.01.2021 03:00 - 01.01.2021 03:15","40354","40846"
"01.01.2021 03:15 - 01.01.2021 03:30","40204","40712"
"01.01.2021 03:30 - 01.01.2021 03:45","40109","40656"
"01.01.2021 03:45 - 01.01.2021 04:00","40095","40424"
"01.01.2021 04:00 - 01.01.2021 04:15","40018","40251"
"01.01.2021 04:15 - 01.01.2021 04:30","39673","39883"
"01.01.2021 04:30 - 01.01.2021 04:45","39459","39875"
"01.01.2021 04:45 - 01.01.2021 05:00","39010","39927"
"01.01.2021 05:00 - 01.01.2021 05:15","38548","39481"
"01.01.2021 05:15 - 01.01.2021 05:30","38342","39342"
"01.01.2021 05:30 - 01.01.2021 05:45","38437","39278"
"01.01.2021 05:45 - 01.01.2021 06:00","38058","39368"
"01.01.2021 06:00 - 01.01.2021 06:15","38384","39555"
"01.01.2021 06:15 - 01.01.2021 06:30","38462","39732"
"01.01.2021 06:30 - 01.01.2021 06:45","38836","39964"
"01.01.2021 06:45 - 01.01.2021 07:00","39121","40134"
"01.01.2021 07:00 - 01.01.2021 07:15","39753","40484"
"01.01.2021 07:15 - 01.01.2021 07:30","39898","40681"
"01.01.2021 07:30 - 01.01.2021 07:45","40660","41060"
"01.01.2021 07:45 - 01.01.2021 08:00","40783","41648"
"01.01.2021 08:00 - 01.01.2021 08:15","41750","42553"
