"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|IT-North","Actual Total Load [MW] - BZN|IT-North"
"01.01.2021 00:00 - 01.01.2021 01:00","10621","10129"
"01.01.2021 01:00 - 01.01.2021 02:00","10042","9392"
"01.01.2021 02:00 - 01.01.2021 03:00","9545","8882"
"01.01.2021 03:00 - 01.01.2021 04:00","9244","8788"
"01.01.2021 04:00 - 01.01.2021 05:00","9305","9080"
"01.01.2021 05:00 - 01.01.2021 06:00","10093","9667"
"01.01.2021 06:00 - 01.01.2021 07:00","10612","10051"
"01.01.2021 07:00 - 01.01.2021 08:00","10610","10012"
"01.01.2021 08:00 - 01.01.2021 09:00","11015","10860"
"01.01.2021 09:00 - 01.01.2021 10:00","11571","11794"
"01.01.2021 10:00 - 01.01.2021 11:00","11919","12632"
"01.01.2021 11:00 - 01.01.2021 12:00","12063","12954"
"01.01.2021 12:00 - 01.01.2021 13:00","11615","12307"
"01.01.2021 13:00 - 01.01.2021 14:00","11463","11932"
"01.01.2021 14:00 - 01.01.2021 15:00","11557","11978"
"01.01.2021 15:00 - 01.01.2021 16:00","12301","12622"
"01.01.2021 16:00 - 01.01.2021 17:00","14253","13779"
"01.01.2021 17:00 - 01.01.2021 18:00","14896","14148"
"01.01.2021 18:00 - 01.01.2021 19:00","15084","14373"
"01.01.2021 19:00 - 01.01.2021 20:00","14576","13899"
"01.01.2021 20:00 - 01.01.2021 21:00","13682","13161"
"01.01.2021 21:00 - 01.01.2021 22:00","12538","12050"
"01.01.2021 22:00 - 01.01.2021 23:00","11351","10887"
"01.01.2021 23:00 - 02.01.2021 00:00","9874","10282"
"02.01.2021 00:00 - 02.01.2021 01:00","8983","9667"
"02.01.2021 01:00 - 02.01.2021 02:00","8448","9314"
"02.01.2021 02:00 - 02.01.2021 03:00","8317","9089"
"02.01.2021 03:00 - 02.01.2021 04:00","8442","9173"
"02.01.2021 04:00 - 02.01.2021 05:00","9074","9729"
"02.01.2021 05:00 - 02.01.2021 06:00","10282","10843"
"02.01.2021 06:00 - 02.01.2021 07:00","11639","11939"
"02.01.2021 07:00 - 02.01.2021 08:00","12514","12761"
"02.01.2021 08:00 - 02.01.2021 09:00","14002","13696"
"02.01.2021 09:00 - 02.01.2021 10:00","14958","14563"
"02.01.2021 10:00 - 02.01.2021 11:00","15386","15132"
"02.01.2021 11:00 - 02.01.2021 12:00","15355","15174"
"02.01.2021 12:00 - 02.01.2021 13:00","14706","14837"
"02.01.2021 13:00 - 02.01.2021 14:00","14382","14271"
"02.01.2021 14:00 - 02.01.2021 15:00","14200","14117"
"02.01.2021 15:00 - 02.01.2021 16:00","14840","14696"
"02.01.2021 16:00 - 02.01.2021 17:00","15970","15804"
"02.01.2021 17:00 - 02.01.2021 18:00","16307","16233"
"02.01.2021 18:00 - 02.01.2021 19:00","15987","16326"
"02.01.2021 19:00 - 02.01.2021 20:00","14737","15258"
"02.01.2021 20:00 - 02.01.2021 21:00","13502","14240"
"02.01.2021 21:00 - 02.01.2021 22:00","12355","12990"
"02.01.2021 22:00 - 02.01.2021 23:00","11187","11777"
"02.01.2021 23:00 - 03.01.2021 00:00","10765","10530"
"03.01.2021 00:00 - 03.01.2021 01:00","10100","9767"
"03.01.2021 01:00 - 03.01.2021 02:00","9586","9436"
"03.01.2021 02:00 - 03.01.2021 03:00","9272","9299"
"03.01.2021 03:00 - 03.01.2021 04:00","9177","9437"
"03.01.2021 04:00 - 03.01.2021 05:00","9463","9777"
"03.01.2021 05:00 - 03.01.2021 06:00","10111","10455"
"03.01.2021 06:00 - 03.01.2021 07:00","10903","11054"
"03.01.2021 07:00 - 03.01.2021 08:00","11192","11411"
"03.01.2021 08:00 - 03.01.2021 09:00","12066","12368"
"03.01.2021 09:00 - 03.01.2021 10:00","13017","13191"
"03.01.2021 10:00 - 03.01.2021 11:00","13518","14049"
"03.01.2021 11:00 - 03.01.2021 12:00","13653","14009"
"03.01.2021 12:00 - 03.01.2021 13:00","13206","12928"
"03.01.2021 13:00 - 03.01.2021 14:00","12877","12869"
"03.01.2021 14:00 - 03.01.2021 15:00","13022","12830"
"03.01.2021 15:00 - 03.01.2021 16:00","13249","13396"
"03.01.2021 16:00 - 03.01.2021 17:00","14758","14917"
"03.01.2021 17:00 - 03.01.2021 18:00","15477","15190"
"03.01.2021 18:00 - 03.01.2021 19:00","15693","15329"
"03.01.2021 19:00 - 03.01.2021 20:00","15129","14752"
"03.01.2021 20:00 - 03.01.2021 21:00","14288","13932"
"03.01.2021 21:00 - 03.01.2021 22:00","12878","12731"
"03.01.2021 22:00 - 03.01.2021 23:00","11744","11565"
"03.01.2021 23:00 - 04.01.2021 00:00","10234","10589"
"04.01.2021 00:00 - 04.01.2021 01:00","9726","9990"
"04.01.2021 01:00 - 04.01.2021 02:00","9686","9814"
"04.01.2021 02:00 - 04.01.2021 03:00","9726","9807"
"04.01.2021 03:00 - 04.01.2021 04:00","9987","10149"
"04.01.2021 04:00 - 04.01.2021 05:00","10829","11086"
"04.01.2021 05:00 - 04.01.2021 06:00","12787","13289"
"04.01.2021 06:00 - 04.01.2021 07:00","15185","15856"
"04.01.2021 07:00 - 04.01.2021 08:00","17210","17945"
"04.01.2021 08:00 - 04.01.2021 09:00","18522","19268"
"04.01.2021 09:00 - 04.01.2021 10:00","19359","19510"
"04.01.2021 10:00 - 04.01.2021 11:00","19552","19580"
"04.01.2021 11:00 - 04.01.2021 12:00","18750","18918"
"04.01.2021 12:00 - 04.01.2021 13:00","18253","18721"
"04.01.2021 13:00 - 04.01.2021 14:00","18474","18985"
"04.01.2021 14:00 - 04.01.2021 15:00","18255","19247"
"04.01.2021 15:00 - 04.01.2021 16:00","18385","19547"
"04.01.2021 16:00 - 04.01.2021 17:00","19422","20354"
"04.01.2021 17:00 - 04.01.2021 18:00","19192","20102"
"04.01.2021 18:00 - 04.01.2021 19:00","18526","19709"
"04.01.2021 19:00 - 04.01.2021 20:00","16962","18053"
"04.01.2021 20:00 - 04.01.2021 21:00","15608","16480"
"04.01.2021 21:00 - 04.01.2021 22:00","14046","14651"
"04.01.2021 22:00 - 04.01.2021 23:00","12768","13474"
"04.01.2021 23:00 - 05.01.2021 00:00","12314","12561"
"05.01.2021 00:00 - 05.01.2021 01:00","11514","11918"
"05.01.2021 01:00 - 05.01.2021 02:00","11141","11425"
"05.01.2021 02:00 - 05.01.2021 03:00","11141","11195"
"05.01.2021 03:00 - 05.01.2021 04:00","11345","11387"
"05.01.2021 04:00 - 05.01.2021 05:00","12021","12186"
"05.01.2021 05:00 - 05.01.2021 06:00","13933","14315"
"05.01.2021 06:00 - 05.01.2021 07:00","16384","16762"
"05.01.2021 07:00 - 05.01.2021 08:00","18584","18761"
"05.01.2021 08:00 - 05.01.2021 09:00","20105","19658"
"05.01.2021 09:00 - 05.01.2021 10:00","20327","19997"
"05.01.2021 10:00 - 05.01.2021 11:00","20282","20369"
"05.01.2021 11:00 - 05.01.2021 12:00","19573","19610"
"05.01.2021 12:00 - 05.01.2021 13:00","19071","19331"
"05.01.2021 13:00 - 05.01.2021 14:00","19283","19570"
"05.01.2021 14:00 - 05.01.2021 15:00","19078","19502"
"05.01.2021 15:00 - 05.01.2021 16:00","18919","19857"
"05.01.2021 16:00 - 05.01.2021 17:00","20164","20335"
"05.01.2021 17:00 - 05.01.2021 18:00","20044","20034"
"05.01.2021 18:00 - 05.01.2021 19:00","19370","19629"
"05.01.2021 19:00 - 05.01.2021 20:00","18163","18245"
"05.01.2021 20:00 - 05.01.2021 21:00","16947","16869"
"05.01.2021 21:00 - 05.01.2021 22:00","15238","15092"
"05.01.2021 22:00 - 05.01.2021 23:00","13728","13671"
"05.01.2021 23:00 - 06.01.2021 00:00","12453","12430"
"06.01.2021 00:00 - 06.01.2021 01:00","11666","11547"
"06.01.2021 01:00 - 06.01.2021 02:00","11151","11103"
"06.01.2021 02:00 - 06.01.2021 03:00","10764","10940"
"06.01.2021 03:00 - 06.01.2021 04:00","10776","11083"
"06.01.2021 04:00 - 06.01.2021 05:00","11245","11416"
"06.01.2021 05:00 - 06.01.2021 06:00","12252","12169"
"06.01.2021 06:00 - 06.01.2021 07:00","13172","12929"
"06.01.2021 07:00 - 06.01.2021 08:00","13581","13257"
"06.01.2021 08:00 - 06.01.2021 09:00","14306","14129"
"06.01.2021 09:00 - 06.01.2021 10:00","14884","14837"
"06.01.2021 10:00 - 06.01.2021 11:00","15371","15722"
"06.01.2021 11:00 - 06.01.2021 12:00","15394","15478"
"06.01.2021 12:00 - 06.01.2021 13:00","14479","14257"
"06.01.2021 13:00 - 06.01.2021 14:00","13941","14080"
"06.01.2021 14:00 - 06.01.2021 15:00","13925","14185"
"06.01.2021 15:00 - 06.01.2021 16:00","13870","14874"
"06.01.2021 16:00 - 06.01.2021 17:00","15836","16491"
"06.01.2021 17:00 - 06.01.2021 18:00","16758","17061"
"06.01.2021 18:00 - 06.01.2021 19:00","16967","17165"
"06.01.2021 19:00 - 06.01.2021 20:00","16654","16351"
"06.01.2021 20:00 - 06.01.2021 21:00","16004","15440"
"06.01.2021 21:00 - 06.01.2021 22:00","14742","14153"
"06.01.2021 22:00 - 06.01.2021 23:00","13174","12709"
"06.01.2021 23:00 - 07.01.2021 00:00","11597","11924"
"07.01.2021 00:00 - 07.01.2021 01:00","10878","11215"
"07.01.2021 01:00 - 07.01.2021 02:00","10616","10998"
"07.01.2021 02:00 - 07.01.2021 03:00","10667","11018"
"07.01.2021 03:00 - 07.01.2021 04:00","11141","11408"
"07.01.2021 04:00 - 07.01.2021 05:00","12145","12730"
"07.01.2021 05:00 - 07.01.2021 06:00","15090","16268"
"07.01.2021 06:00 - 07.01.2021 07:00","18838","20567"
"07.01.2021 07:00 - 07.01.2021 08:00","21637","23405"
"07.01.2021 08:00 - 07.01.2021 09:00","22589","24470"
"07.01.2021 09:00 - 07.01.2021 10:00","22760","24467"
"07.01.2021 10:00 - 07.01.2021 11:00","22977","24125"
"07.01.2021 11:00 - 07.01.2021 12:00","22195","22863"
"07.01.2021 12:00 - 07.01.2021 13:00","22496","22756"
"07.01.2021 13:00 - 07.01.2021 14:00","23801","23732"
"07.01.2021 14:00 - 07.01.2021 15:00","23551","23877"
"07.01.2021 15:00 - 07.01.2021 16:00","23197","24031"
"07.01.2021 16:00 - 07.01.2021 17:00","23329","24300"
"07.01.2021 17:00 - 07.01.2021 18:00","22724","23537"
"07.01.2021 18:00 - 07.01.2021 19:00","22079","22854"
"07.01.2021 19:00 - 07.01.2021 20:00","20727","21269"
"07.01.2021 20:00 - 07.01.2021 21:00","19341","19621"
"07.01.2021 21:00 - 07.01.2021 22:00","17217","17519"
"07.01.2021 22:00 - 07.01.2021 23:00","15419","15858"
"07.01.2021 23:00 - 08.01.2021 00:00","13135","14674"
"08.01.2021 00:00 - 08.01.2021 01:00","12313","14001"
"08.01.2021 01:00 - 08.01.2021 02:00","11989","13745"
"08.01.2021 02:00 - 08.01.2021 03:00","11849","13704"
"08.01.2021 03:00 - 08.01.2021 04:00","12126","13928"
"08.01.2021 04:00 - 08.01.2021 05:00","13302","15041"
"08.01.2021 05:00 - 08.01.2021 06:00","16428","18199"
"08.01.2021 06:00 - 08.01.2021 07:00","20818","22169"
"08.01.2021 07:00 - 08.01.2021 08:00","23972","24423"
"08.01.2021 08:00 - 08.01.2021 09:00","25453","24876"
"08.01.2021 09:00 - 08.01.2021 10:00","25857","24277"
"08.01.2021 10:00 - 08.01.2021 11:00","26427","24004"
"08.01.2021 11:00 - 08.01.2021 12:00","25497","22781"
"08.01.2021 12:00 - 08.01.2021 13:00","24682","22886"
"08.01.2021 13:00 - 08.01.2021 14:00","26051","22965"
"08.01.2021 14:00 - 08.01.2021 15:00","26077","23129"
"08.01.2021 15:00 - 08.01.2021 16:00","26161","23361"
"08.01.2021 16:00 - 08.01.2021 17:00","25776","24033"
"08.01.2021 17:00 - 08.01.2021 18:00","24615","23558"
"08.01.2021 18:00 - 08.01.2021 19:00","23769","22806"
"08.01.2021 19:00 - 08.01.2021 20:00","21859","21110"
"08.01.2021 20:00 - 08.01.2021 21:00","19928","19418"
"08.01.2021 21:00 - 08.01.2021 22:00","18079","17325"
"08.01.2021 22:00 - 08.01.2021 23:00","16099","15888"
"08.01.2021 23:00 - 09.01.2021 00:00","14642","14686"
"09.01.2021 00:00 - 09.01.2021 01:00","13870","13847"
"09.01.2021 01:00 - 09.01.2021 02:00","13477","13512"
"09.01.2021 02:00 - 09.01.2021 03:00","13299","13297"
"09.01.2021 03:00 - 09.01.2021 04:00","13307","13361"
"09.01.2021 04:00 - 09.01.2021 05:00","13781","13716"
"09.01.2021 05:00 - 09.01.2021 06:00","15060","15067"
"09.01.2021 06:00 - 09.01.2021 07:00","17053","16933"
"09.01.2021 07:00 - 09.01.2021 08:00","18079","18147"
"09.01.2021 08:00 - 09.01.2021 09:00","18674","19153"
"09.01.2021 09:00 - 09.01.2021 10:00","18715","19152"
"09.01.2021 10:00 - 09.01.2021 11:00","18272","18805"
"09.01.2021 11:00 - 09.01.2021 12:00","17654","17904"
"09.01.2021 12:00 - 09.01.2021 13:00","16444","17159"
"09.01.2021 13:00 - 09.01.2021 14:00","15985","16905"
"09.01.2021 14:00 - 09.01.2021 15:00","16006","16833"
"09.01.2021 15:00 - 09.01.2021 16:00","16245","17437"
"09.01.2021 16:00 - 09.01.2021 17:00","17912","18822"
"09.01.2021 17:00 - 09.01.2021 18:00","18545","19308"
"09.01.2021 18:00 - 09.01.2021 19:00","18642","19366"
"09.01.2021 19:00 - 09.01.2021 20:00","17469","17977"
"09.01.2021 20:00 - 09.01.2021 21:00","16197","16740"
"09.01.2021 21:00 - 09.01.2021 22:00","15108","15286"
"09.01.2021 22:00 - 09.01.2021 23:00","13871","14111"
"09.01.2021 23:00 - 10.01.2021 00:00","12889","12908"
"10.01.2021 00:00 - 10.01.2021 01:00","12104","12003"
"10.01.2021 01:00 - 10.01.2021 02:00","11546","11517"
"10.01.2021 02:00 - 10.01.2021 03:00","11265","11187"
"10.01.2021 03:00 - 10.01.2021 04:00","11267","11349"
"10.01.2021 04:00 - 10.01.2021 05:00","11676","11610"
"10.01.2021 05:00 - 10.01.2021 06:00","12353","12540"
"10.01.2021 06:00 - 10.01.2021 07:00","13209","13386"
